TRADEDATE,SECID,ISSUE_NAME,SHORTNAME,BOARDID,COUPON_TYPE,ANALYSIS_GROUP,MATURITY_GROUP,OPEN,HIGH,LOW,CLOSE,WAPRICE,CLEAN_PRICE_RUB,DIRTY_PRICE_RUB,PRICE_DEV_FROM_100,PRICE_RETURN,YIELDATWAP,YIELDCLOSE,YIELD,VOLUME,VALUE,NUMTRADES,ACCINT,FACEVALUE,COUPONPERCENT,COUPONVALUE,MATDATE,YEARS_TO_MATURITY,DURATION,BONDTYPE,BONDSUBTYPE
2024-03-04,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,98.0,98.142,97.8,97.999,97.904,979.9899999999999,994.2799999999999,-2.0010000000000048,-1.0204081632658735e-05,0.0,,0.0,27809,27226044.58,314,14.29,1000,0.0,0.0,2035-04-18,11.121149897330595,,,
2024-03-05,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.835,97.999,97.756,97.872,97.879,978.72,993.44,-2.128,-0.0012959315911386105,0.0,,0.0,93416,91434589.98,327,14.72,1000,0.0,0.0,2035-04-18,11.118412046543463,,,
2024-03-06,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,98.141,98.141,97.779,97.948,97.859,979.4799999999999,994.6299999999999,-2.0520000000000067,0.0007765244400850246,0.0,,0.0,62432,61112055.48,268,15.15,1000,0.0,0.0,2035-04-18,11.11567419575633,,,
2024-03-07,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.948,98.098,97.769,97.949,97.812,979.49,995.07,-2.051000000000002,1.0209498917834736e-05,0.0,,0.0,49587,48542639.14,373,15.58,1000,0.0,0.0,2035-04-18,11.1129363449692,,,
2024-03-11,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.801,98.137,97.731,97.8,97.956,978.0,995.27,-2.200000000000003,-0.0015211998080634226,0.0,,0.0,90154,88311199.05,443,17.27,1000,0.0,0.0,2035-04-18,11.101984941820671,,,
2024-03-12,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.93,98.09,97.505,97.999,97.929,979.9899999999999,997.68,-2.0010000000000048,0.0020347648261758167,0.0,,0.0,1155312,1131442702.45,361,17.69,1000,0.0,0.0,2035-04-18,11.099247091033538,,,
2024-03-13,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.752,97.999,97.752,97.897,97.941,978.97,997.08,-2.1029999999999944,-0.0010408269472136356,0.0,,0.0,17203,16837882.35,224,18.11,1000,0.0,0.0,2035-04-18,11.096509240246407,,,
2024-03-14,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.946,97.998,97.703,97.761,97.948,977.61,996.15,-2.2390000000000043,-0.0013892151955627874,0.0,,0.0,64038,62720761.05,275,18.54,1000,0.0,0.0,2035-04-18,11.093771389459274,,,
2024-03-15,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.989,97.989,97.748,97.85,97.884,978.4999999999999,997.4699999999999,-2.1500000000000057,0.0009103834862573823,0.0,,0.0,73470,71915352.53,283,18.97,1000,0.0,0.0,2035-04-18,11.091033538672143,,,
2024-03-18,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.85,97.969,97.55,97.94,97.876,979.4,999.66,-2.0600000000000023,0.0009197751660705578,0.0,,0.0,66172,64766783.64,478,20.26,1000,0.0,0.0,2035-04-18,11.082819986310746,,,
